Roll Number,Email,Mobile,Address,Password,Sex,Department,Year,Name,CPI,Coordinator ID
110CS1005,kristian@yahoo.com,827481250,Wanguri,810,F,CS,4,Kristian Ellerbusch,7.4293372226,CS1034
10DEE1037,rossana.biler@biler.net.au,898552125,Lee Point,810,F,EE,5,Rossana Biler,7.3396464861,EE1038
110PH1042,annita.lek@lek.net.au,833843181,Karama,812,M,PH,4,Annita Lek,6.0553854895,PH1016
110CS1087,louis.brueck@brueck.net.au,852283628,Larrakeyah,820,M,CS,4,Louis Brueck,8.9450374506,CS1006
110EE1097,blatina@hotmail.com,885067259,Larrakeyah,820,M,EE,4,Barb Latina,5.9686810994,EE1022
110PH1031,lorenza.schoenleber@schoenleber.com.au,880817779,Humpty Doo,836,M,PH,4,Lorenza Schoenleber,9.2899655835,PH1022
110EE1057,kwasp@wasp.net.au,816839243,Adelaide River,846,M,EE,4,Keshia Wasp,4.0672801412,EE1050
10DCS1043,wenona@gmail.com,228321545,Grosvenor Place,1220,F,CS,5,Wenona Carmel,7.4000599668,CS1052
110PH1036,dhaag@hotmail.com,297182944,Sydney South,1235,M,PH,4,Deane Haag,5.567902714,PH1015
10DAE1091,nmckenna@yahoo.com,250592649,Botany,1455,M,AE,5,Nenita Mckenna,9.8933085343,AE1088
10DME1000,mayra.bena@gmail.com,214556085,Lane Cove,1595,M,ME,5,Mayra Bena,6.5096533936,ME1048
10DME1021,samuel.arellanes@arellanes.net.au,279956787,Lane Cove,1595,M,ME,5,Samuel Arellanes,4.8614586117,ME1083
110EE1053,princess_saffo@hotmail.com,226566234,Auburn,1835,M,EE,4,Princess Saffo,8.2000156096,EE1058
10DAE1073,michael_orehek@gmail.com,219191709,Millers Point,2000,F,AE,5,Michael Orehek,8.6070873193,AE1013
10DME1062,casandra_gordis@gordis.com.au,258086388,Chippendale,2008,M,ME,5,Casandra Gordis,9.5187000893,ME1022
110CS1042,lprez@prez.com.au,274638776,Waterloo,2017,M,CS,4,Leonor Prez,8.9324707231,CS1051
10DAE1083,bernadine_elamin@yahoo.com,218158700,Waverley,2024,F,AE,5,Bernadine Elamin,9.1448901827,AE1009
110PH1008,cherilyn_fraize@fraize.net.au,248731914,Rose Bay North,2030,M,PH,4,Cherilyn Fraize,5.0644913916,PH1065
110ME1030,katie_magro@gmail.com,272659702,Pagewood,2035,F,ME,4,Katie Magro,6.3460100293,ME1022
10DEE1095,bapodace@gmail.com,256303114,Middle Cove,2068,M,EE,5,Beckie Apodace,4.3827469111,EE1092
110CS1101,nderenzis@hotmail.com,255736627,Berowra Heights,2082,F,CS,4,Nickole Derenzis,8.1074490924,CS1006
10DEE1005,olobosco@hotmail.com,250461307,Dangar Island,2083,M,EE,5,Oren Lobosco,9.6870511076,EE1022
110ME1063,fidelia_dampier@gmail.com,280359997,Dangar Island,2083,M,ME,4,Fidelia Dampier,6.7767682695,ME1022
110AE1012,lou.kriner@hotmail.com,273283350,Seaforth,2092,M,AE,4,Lou Kriner,8.5101126488,AE1088
10DCS1080,lachelle.andrzejewski@andrzejewski.com.au,234169617,Cherrybrook,2126,M,CS,5,Lachelle Andrzejewski,5.7902754922,CS1006
110CS1116,aide.ghera@ghera.com.au,237387508,Rhodes,2138,F,CS,4,Aide Ghera,4.1509675281,CS1027
10DEE1067,tommy@hotmail.com,254441961,Concord West,2138,F,EE,5,Tommy Gennusa,9.7377462634,EE1058
110EE1036,nfritch@fritch.com.au,226121455,Girraween,2145,M,EE,4,Novella Fritch,4.6800132389,EE1022
110ME1051,sherman@mahmud.com.au,226213361,Harris Park,2150,F,ME,4,Sherman Mahmud,4.5582215847,ME1033
110CS1032,madelyn.maestri@yahoo.com,221298131,Rouse Hill,2155,F,CS,4,Madelyn Maestri,5.4869847959,CS1006
110PH1027,ben_kellman@kellman.net.au,279689243,Berrilee,2159,M,PH,4,Ben Kellman,8.7408552128,PH1016
110AE1049,sharita_kruk@gmail.com,273864544,Merrylands,2160,M,AE,4,Sharita Kruk,5.9358956008,AE1034
110CS1068,mcove@hotmail.com,280108344,Cabramatta,2166,F,CS,4,Maryrose Cove,4.6334474613,CS1052
10DCS1057,johanna@yahoo.com,259701748,Campsie,2194,F,CS,5,Johanna Saffer,6.9189810478,CS1051
10DCS1090,kweyman@weyman.com.au,270918948,Kingsway West,2208,M,CS,5,Kimberely Weyman,8.4715268398,CS1052
10DPH1041,claudia@gmail.com,242463092,Lilli Pilli,2229,M,PH,5,Claudia Gawrych,4.4122395637,PH1085
110ME1037,german@gmail.com,223933289,Woronora,2232,M,ME,4,German Dones,5.4386669393,ME1084
110EE1007,rupert_hinkson@hinkson.net.au,271602066,East Gosford,2250,F,EE,4,Rupert Hinkson,6.2754314486,EE1050
110EE1010,darnell_moothart@yahoo.com,239969188,Empire Bay,2257,F,EE,4,Darnell Moothart,5.0738832988,EE1050
110AE1090,cordie.meikle@hotmail.com,287274906,Hamlyn Terrace,2259,M,AE,4,Cordie Meikle,6.052173716,AE1088
110ME1002,camellia_pylant@gmail.com,251714345,Tuggerawong,2259,M,ME,4,Camellia Pylant,9.3389316783,ME1084
110ME1009,jamal_korczynski@gmail.com,238779654,Bateau Bay,2261,M,ME,4,Jamal Korczynski,4.2709093536,ME1084
110CS1048,holley.worland@hotmail.com,298859593,Blue Haven,2262,F,CS,4,Holley Worland,8.7356646592,CS1051
10DPH1061,julio@gmail.com,256329914,Gorokan,2263,M,PH,5,Julio Puccini,7.7202983294,PH1016
10DCS1016,ltovmasyan@tovmasyan.net.au,225465344,Boolaroo,2284,M,CS,5,Lauran Tovmasyan,7.6879109698,CS1027
10DPH1026,jacklyn@hotmail.com,262878787,Summer Hill,2287,M,PH,5,Jacklyn Wojnar,6.9795925901,PH1085
110CS1004,ndaleo@daleo.net.au,253226127,Kotara Fair,2289,M,CS,4,Norah Daleo,4.7171609439,CS1103
10DEE1061,anastacia@yahoo.com,260783417,Waratah West,2298,F,EE,5,Anastacia Carranzo,4.3550687842,EE1038
110AE1027,lurion@yahoo.com,247946673,Bar Beach,2300,M,AE,4,Lashawn Urion,9.5803392292,AE1088
10DCS1082,dorinda_markoff@hotmail.com,265299317,Mayfield East,2304,M,CS,5,Dorinda Markoff,6.1612030356,CS1028
110EE1100,fgudgel@gudgel.com.au,225018301,Halton,2311,F,EE,4,Florinda Gudgel,6.4574534097,EE1050
110AE1051,keva.moehring@moehring.net.au,291874769,Salamander Bay,2317,M,AE,4,Keva Moehring,5.9730812102,AE1016
110CS1069,della.selestewa@gmail.com,248858382,Gillieston Heights,2321,F,CS,4,Della Selestewa,6.2345302897,CS1034
110AE1057,karima_cheever@hotmail.com,259778561,Woodberry,2322,M,AE,4,Karima Cheever,8.6628217227,AE1013
110CS1078,verdell.garness@yahoo.com,262917620,Thornton,2322,M,CS,4,Verdell Garness,6.0374323903,CS1027
10DME1076,micheal.ocken@ocken.net.au,298284921,Freemans Waterhole,2323,M,ME,5,Micheal Ocken,7.2150937743,ME1033
10DEE1048,jerrod_luening@luening.com.au,295549632,Tea Gardens,2324,F,EE,5,Jerrod Luening,9.6110783741,EE1022
110CS1113,ramonita_picotte@yahoo.com,243608467,Weston,2326,F,CS,4,Ramonita Picotte,4.9511043485,CS1034
110PH1048,tori@tepley.net.au,224931870,Uarbry,2329,F,PH,4,Tori Tepley,8.7728602556,PH1085
10DME1069,jodi@hotmail.com,261935184,Dural,2330,F,ME,5,Jodi Naifeh,8.1668086648,ME1027
10DME1018,elliot.scatton@hotmail.com,236479507,Mccullys Gap,2333,M,ME,5,Elliot Scatton,6.1456743516,ME1001
10DME1085,veronika.buchauer@buchauer.net.au,242025191,Willow Tree,2339,M,ME,5,Veronika Buchauer,4.1250009732,ME1072
10DAE1048,tamekia_kajder@yahoo.com,274988576,West Tamworth,2340,M,AE,5,Tamekia Kajder,4.5503721531,AE1009
110PH1018,rosamond.amlin@gmail.com,280075034,Calala,2340,M,PH,4,Rosamond Amlin,9.0057634898,PH1062
110AE1008,janessa@yahoo.com,223676845,Bolivia,2372,M,AE,4,Janessa Ruthers,8.39974995,AE1002
110CS1063,qweissbrodt@weissbrodt.com.au,272399923,Premer,2381,F,CS,4,Quinn Weissbrodt,5.0676342044,CS1027
110EE1104,julio.mikel@mikel.net.au,269959902,Pilliga,2388,M,EE,4,Julio Mikel,6.434410478,EE1022
110EE1074,winifred.kingshott@yahoo.com,253181342,Marshdale,2420,F,EE,4,Winifred Kingshott,9.5562524265,EE1022
10DME1039,colene.tolbent@tolbent.net.au,243761104,Gloucester,2422,F,ME,5,Colene Tolbent,6.9246997829,ME1083
110PH1074,swisenbaker@wisenbaker.net.au,229574812,Allworth,2425,F,PH,4,Santos Wisenbaker,9.3420478394,PH1024
10DEE1026,patria.popa@gmail.com,265223993,Killabakh,2429,F,EE,5,Patria Popa,6.4022543291,EE1058
110EE1102,desmond@hotmail.com,217068506,Caparra,2429,M,EE,4,Desmond Amuso,5.21341208,EE1092
110PH1007,ben.majorga@hotmail.com,281719051,Wherrol Flat,2429,M,PH,4,Ben Majorga,8.2635470103,PH1016
